Movie,Release Date,Distributor,Genre,MPAA,Tickets Sold
"1,000 Rupee Note",9/23/2016,Kino Lorber,Drama,Not Rated,277
10 Cloverfield Lane,3/11/2016,Paramount Pictures,Thriller/Suspense,PG-13,"8,333,294"
13 Hours: The Secret Soldiers of Benghazi,1/15/2016,Paramount Pictures,Drama,R,"6,110,198"
2016 Oscar Shorts,1/29/2016,ShortsHD,Multiple Genres,Not Rated,"325,643"
20th Century Women,12/25/2016,A24,Drama,R,"20,644"
3 Weeks in Yerevan,9/16/2016,Richmond Media Entertainment,Comedy,Not Rated,"3,380"
A Aa,6/1/2016,Bluesky Cinemas,Romantic Comedy,Not Rated,"267,403"
A Beautiful Now,9/2/2016,Monterey Media,Drama,R,198
A Beautiful Planet,4/29/2016,Walt Disney,Documentary,G,"912,798"
A Bigger Splash,5/4/2016,Fox Searchlight,Drama,R,"233,999"
A Bit of Bad Luck,5/13/2016,Indican Pictures,Comedy,Not Rated,"2,091"
A Hologram for the King,4/22/2016,Roadside Attractions,Drama,R,"486,993"
A Kind of Murder,12/16/2016,Magnolia Pictures,Thriller/Suspense,R,336
A Man Called Ove,9/30/2016,Music Box Films,Comedy,PG-13,"385,665"
A Melody to Remember,1/29/2016,CJ Entertainment,Drama,Not Rated,"4,837"
A Monster with a Thousand Heads,5/13/2016,Music Box Films,Thriller/Suspense,Not Rated,"2,873"
A Perfect Day,1/15/2016,IFC Films,Drama,R,578
A Small Good Thing,8/19/2016,Kino Lorber,Documentary,Not Rated,138
A Space Program,3/18/2016,Zeitgeist,Documentary,Not Rated,"1,588"
A Street Cat Named Bob,11/18/2016,Cleopatra Films,Drama,Not Rated,"9,561"
A Tale of Love and Darkness,8/19/2016,Focus World,Drama,PG-13,"66,151"
A War,2/12/2016,Magnolia Pictures,Drama,R,"14,208"
Absolutely Fabulous: The Movie,7/22/2016,Fox Searchlight,Comedy,R,"551,694"
Ae Dil Hai Mushkil,10/28/2016,FIP,Drama,Not Rated,"493,061"
Aferim!,1/22/2016,Big World Pictures,Black Comedy,Not Rated,"12,498"
Against the Wild: Survive the Serengeti,2/26/2016,Anchor Bay Entertainment,Adventure,PG,"12,480"
Alice Through the Looking Glass,5/27/2016,Walt Disney,Adventure,PG,"8,906,633"
Allied,11/23/2016,Paramount Pictures,Drama,R,"4,577,912"
Almost Christmas,11/11/2016,Universal,Drama,PG-13,"4,855,815"
Almost Holy,5/20/2016,The Orchard,Documentary,R,"2,444"
Always Shine,11/25/2016,Oscilloscope Pictures,Thriller/Suspense,Not Rated,"1,865"
American Honey,9/30/2016,A24,Drama,R,"76,675"
American Pastoral,10/21/2016,Lionsgate,Drama,R,"62,901"
Among the Believers,9/30/2016,First Run Features,Documentary,Not Rated,484
An Eye for Beauty,4/15/2016,Monument Releasing,Drama,Not Rated,"1,086"
Anesthesia,1/8/2016,IFC Films,Drama,R,"3,098"
Angry Indian Goddess,8/5/2016,Mongrel Media,Comedy,Not Rated,"2,681"
Anonymous,12/2/2016,Archstone Entertainment,Drama,R,"1,299"
Anthropoid,8/12/2016,Bleecker Street,Thriller/Suspense,R,"342,616"
Approaching the Unknown,6/3/2016,Vertical Entertainment,Drama,R,"1,182"
April and the Extraordinary World,3/25/2016,GKIDS,Adventure,PG,"34,160"
Aquarius,10/14/2016,Vitagraph Films,Drama,Not Rated,"33,055"
Argentina,6/17/2016,First Run Features,Documentary,Not Rated,"1,718"
Arrival,11/11/2016,Paramount Pictures,Drama,PG-13,"10,657,998"
Art Bastard,6/3/2016,CAVU Releasing,Documentary,Not Rated,"2,265"
As I Open My Eyes,9/9/2016,Kino Lorber,Drama,Not Rated,"3,582"
Assassin’s Creed,12/21/2016,20th Century Fox,Action,PG-13,"4,209,846"
Asura: The City of Madness,10/7/2016,CJ Entertainment,Action,Not Rated,"20,173"
Author: The JT LeRoy Story,9/9/2016,Magnolia Pictures,Documentary,R,"9,942"
Auto Shop of Horrors,9/23/2016,Driving With Our Eyes Shut,Comedy,Not Rated,497
Baaghi,4/29/2016,UTV Communications,Romantic Comedy,Not Rated,"50,659"
Baar Baar Dekho,9/9/2016,Eros Entertainment,Drama,Not Rated,"113,519"
Bad Moms,7/29/2016,STX Entertainment,Comedy,R,"13,093,329"
Bad Santa 2,11/23/2016,Broad Green Pictures,Comedy,R,"2,049,222"
Band of Robbers,1/15/2016,Gravitas Ventures,Adventure,Not Rated,"2,376"
Banjo,9/23/2016,Eros Entertainment,Action,Not Rated,"2,906"
Barbershop: The Next Cut,4/15/2016,Warner Bros.,Comedy,PG-13,"6,246,249"
Batman v Superman: Dawn of Justice,3/25/2016,Warner Bros.,Action,PG-13,"38,191,930"
Batman: The Killing Joke,7/25/2016,Fathom Events,Action,R,"436,416"
Behind the White Glasses: Portrait of Lina Wertmuller,3/4/2016,Parade Deck Films,Documentary,Not Rated,790
Being 17,10/7/2016,Strand,Drama,Not Rated,"6,093"
Being Charlie,5/6/2016,Paladin,Drama,R,"3,514"
Believe,12/2/2016,Smith Global Media,Drama,PG,"102,812"
Ben-Hur,8/19/2016,Paramount Pictures,Drama,PG-13,"3,053,234"
Best and Most Beautiful Things,12/2/2016,First Run Features,Documentary,Not Rated,348
Best Worst Thing That Ever Could Have Happened,11/18/2016,Abramorama Films,Documentary,Not Rated,"11,818"
Beta Test,7/22/2016,Mirror Images Ltd,Action,Not Rated,"1,168"
Billy Lynn’s Long Halftime Walk,11/11/2016,Sony Pictures,Drama,R,"200,980"
Blackway,6/10/2016,Electric Entertainment,Thriller/Suspense,R,"3,130"
Blair Witch,9/16/2016,Lionsgate,Horror,R,"2,401,972"
Bleed for This,11/18/2016,Open Road,Drama,R,"587,734"
Blood on the Mountain,11/18/2016,Abramorama Films,Documentary,Not Rated,539
Blue Jay,10/7/2016,The Orchard,Drama,Not Rated,"2,500"
Boom Bust Boom,3/11/2016,Brainstorm Media,Documentary,Not Rated,797
Born to Be Blue,3/4/2016,IFC Films,Drama,R,"87,300"
Breaking a Monster,6/24/2016,Abramorama Films,Documentary,Not Rated,486
Bridget Jones’s Baby,9/16/2016,Universal,Romantic Comedy,R,"2,790,728"
Burning Bodhi,3/18/2016,Monterey Media,Drama,R,380
Busco Novio Para Mi Mujer,2/19/2016,Lionsgate,Romantic Comedy,PG-13,"201,374"
Café Society,7/15/2016,Lionsgate,Drama,PG-13,"1,283,607"
Caged No More,1/22/2016,Freestyle Releasing,Thriller/Suspense,PG-13,"13,290"
Call Her Applebroog,6/10/2016,Zeitgeist,Documentary,Not Rated,559
Cameraperson,9/9/2016,Janus Films,Documentary,Not Rated,"11,795"
Captain America: Civil War,5/6/2016,Walt Disney,Action,PG-13,"47,177,381"
Captain Fantastic,7/8/2016,Bleecker Street,Drama,R,"679,749"
Catching the Sun,4/1/2016,The Film Collaborative,Documentary,Not Rated,"4,463"
Cemetery of Splendor,3/4/2016,Strand,Drama,Not Rated,"6,005"
Central Intelligence,6/17/2016,Warner Bros.,Comedy,PG-13,"14,733,049 "
Certain Women,10/14/2016,IFC Films,Drama,R,"123,474"
Chaar Sahibzaade 2: Rise of Banda Singh Bahadur,11/11/2016,Eros Entertainment,Adventure,Not Rated,"81,008"
Chevalier,5/27/2016,Strand,Comedy,Not Rated,"2,970"
Chimes at Midnight,1/1/2016,Janus Films,Comedy,Not Rated,"12,458"
Chongqing Hot Pot,4/1/2016,China Lion Film Distribution,Comedy,Not Rated,"89,786"
Chosen,12/16/2016,Hannover House,Drama,R,353
Christine,10/14/2016,The Orchard,Drama,R,"34,396"
Chronic,9/23/2016,Monument Releasing,Drama,R,"1,044"
City of Gold,3/11/2016,IFC Films,Documentary,R,"70,381"
City of Women,2/19/2016,Cohen Media Group,Comedy,R,"1,446"
Closet Monster,9/23/2016,Strand,Drama,Not Rated,"4,874"
Clown,6/17/2016,Dimension Pictures,Horror,R,"6,359"
Cock and Bull,9/16/2016,China Lion Film Distribution,Comedy,Not Rated,"9,569"
Cold War 2,7/8/2016,Well Go USA,Action,Not Rated,"64,835"
Collateral Beauty,12/16/2016,Warner Bros.,Drama,PG-13,"2,814,159"
Colliding Dreams,3/4/2016,International Film Circuit,Documentary,Not Rated,"9,050"
Colonia,4/15/2016,Screen Media Films,Thriller/Suspense,R,"1,816"
Come What May,9/9/2016,Cohen Media Group,Drama,R,"4,376"
Coming Through the Rye,10/14/2016,Eammon Films,Drama,PG-13,462
Command and Control,9/14/2016,PBS Distribution,Documentary,Not Rated,"6,663"
Compadres,4/22/2016,Lionsgate,Comedy,R,"361,592"
Complete Unknown,8/26/2016,IFC Films,Drama,R,"21,635"
Cosmos,6/17/2016,Kino Lorber,Drama,Not Rated,"2,989"
Creative Control,3/11/2016,Magnolia Pictures,Drama,R,"7,284"
Criminal,4/15/2016,Lionsgate,Action,R,"1,700,427"
Dancer,9/9/2016,IFC Films,Documentary,Not Rated,"7,234"
Dangal,12/21/2016,UTV Communications,Action,Not Rated,"1,066,565"
Danny Says,9/30/2016,Magnolia Pictures,Documentary,Not Rated,"5,111"
Dark Horse,5/6/2016,Sony Pictures Classics,Documentary,PG,"108,753"
Daughters of the Dust (Re-Issue),11/18/2016,Cohen Media Group,Drama,Not Rated,"7,040"
De Palma,6/10/2016,A24,Documentary,R,"19,102"
Deadpool,2/12/2016,20th Century Fox,Action,R,"41,973,492"
Dear Life,11/23/2016,Reliance Big Pictures,Drama,Not Rated,"274,737"
Deepwater Horizon,9/30/2016,Lionsgate,Drama,PG-13,"7,102,141"
Demolition,4/8/2016,Fox Searchlight,Drama,R,"228,738"
Demon,9/9/2016,The Orchard,Horror,R,"12,027"
Denial,9/30/2016,Bleecker Street,Drama,PG-13,"470,918"
Desierto,10/14/2016,STX Entertainment,Thriller/Suspense,R,"231,449"
Detective Chinatown,1/15/2016,China Lion Film Distribution,Action,Not Rated,"53,159"
Dheepan,5/6/2016,Sundance Selects,Drama,R,"28,762"
Diary of a Chambermaid,6/10/2016,Cohen Media Group,Drama,Not Rated,"6,194"
Dirty Grandpa,1/22/2016,Lionsgate,Comedy,R,"4,114,810"
Dishoom,7/29/2016,Eros Entertainment,Action,Not Rated,"93,958"
Disorder,8/12/2016,IFC Films,Thriller/Suspense,Not Rated,"4,966"
Disturbing the Peace (Re-issue),11/11/2016,Abramorama Films,Documentary,Not Rated,"2,923"
Do Not Resist,9/30/2016,Vanish Films,Documentary,Not Rated,"8,230"
Doctor Strange,11/4/2016,Walt Disney,Adventure,PG-13,"26,602,056"
Don’t Blink: Robert Frank,7/13/2016,Grasshopper Film,Documentary,Not Rated,"8,801"
Don’t Breathe,8/26/2016,Sony Pictures,Horror,R,"10,314,205"
Don’t Call Me Son,11/2/2016,Zeitgeist,Drama,Not Rated,"1,350"
Don’t Think Twice,7/22/2016,Film Arcade,Comedy,R,"510,749"
DONGJU; The Portrait of A Poet,2/17/2016,Megabox Plus M,Drama,Not Rated,"6,495"
Dough,2/12/2016,Menemsha Entertainment,Comedy,Not Rated,"132,751"
Down by Love,8/19/2016,Distrib Films,Drama,Not Rated,78
Eat That Question: Frank Zappa in His Own Words,6/24/2016,Sony Pictures Classics,Documentary,R,"41,049"
Eddie the Eagle,2/26/2016,20th Century Fox,Drama,PG-13,"1,825,362"
Eisenstein In Guanajuato,2/5/2016,Strand,Drama,Not Rated,"3,963"
El Clan,3/18/2016,20th Century Fox,Drama,R,"23,263"
Elle,11/11/2016,Sony Pictures Classics,Drama,R,"105,947"
Elstree 1976,5/6/2016,FilmRise,Documentary,Not Rated,"1,407"
Elvis & Nixon,4/22/2016,Bleecker Street & Amazon Studios,Drama,R,"121,998"
Em La Ba Noi Cua Anh,3/11/2016,CJ Entertainment,Comedy,Not Rated,"7,597"
Embrace,9/19/2016,Gathr Films,Documentary,Not Rated,"47,669"
Embrace of the Serpent,2/17/2016,Oscilloscope Pictures,Drama,Not Rated,"153,670"
Equals,7/15/2016,A24,Drama,PG-13,"3,844"
Equity,7/29/2016,Sony Pictures Classics,Drama,R,"185,602"
Eva Hesse,4/27/2016,Zeitgeist,Documentary,Not Rated,"18,205"
Everybody Wants Some,3/30/2016,Paramount Pictures,Comedy,R,"393,095"
Evolution,11/25/2016,IFC Midnight,Horror,Not Rated,"2,721"
Eye in the Sky,3/11/2016,Bleecker Street,Thriller/Suspense,R,"2,162,381"
Fan,4/15/2016,Yash Raj Films,Thriller/Suspense,Not Rated,"195,361"
Fantastic Beasts and Where to Find Them,11/18/2016,Warner Bros.,Adventure,PG-13,"25,742,841"
Fatima,8/26/2016,Kino Lorber,Drama,Not Rated,"5,792"
Fences,12/16/2016,Paramount Pictures,Drama,PG-13,"3,438,568"
Fifty Shades of Black,1/29/2016,Open Road,Comedy,R,"1,351,091"
Final Fantasy XV: Kingsglaive,8/19/2016,Stage 6 Films,Adventure,PG-13,"31,211"
Finding Dory,6/17/2016,Walt Disney,Adventure,PG,"56,219,140"
Fire at Sea,10/21/2016,Kino Lorber,Documentary,Not Rated,"7,678"
Fireworks Wednesday,3/16/2016,Grasshopper Film,Drama,Not Rated,"10,464"
Fitoor,2/12/2016,UTV Communications,Drama,Not Rated,"61,132"
Five Nights in Maine,8/5/2016,FilmRise,Drama,Not Rated,"1,801"
Florence Foster Jenkins,8/12/2016,Paramount Pictures,Drama,PG-13,"3,165,753"
For a Few Bullets,7/22/2016,China Lion Film Distribution,Western,Not Rated,"3,484"
For the Love of Spock,9/9/2016,Gravitas Ventures,Documentary,Not Rated,"9,264"
Francofonia,4/1/2016,Music Box Films,Drama,Not Rated,"35,495"
Frank & Lola,12/9/2016,Paladin,Drama,Not Rated,"1,062"
Free State of Jones,6/24/2016,STX Entertainment,Drama,R,"2,405,784"
Fritz Lang’s Destiny,5/20/2016,Kino Lorber,Thriller/Suspense,Not Rated,"1,405"
From Afar,6/8/2016,Strand,Drama,Not Rated,"3,487"
Front Cover,8/5/2016,Strand,Drama,Not Rated,"3,053"
Generation Found,8/29/2016,Gathr Films,Documentary,Not Rated,"17,543"
Generation Startup,9/23/2016,Long Shot Factory,Documentary,Not Rated,"2,574"
Genius,6/10/2016,Roadside Attractions,Drama,PG-13,"157,346"
Gentleman,6/17/2016,Gaatri Media,Thriller/Suspense,Not Rated,"103,800"
Germans and Jews,6/10/2016,First Run Features,Documentary,Not Rated,"4,404"
Ghost Team,8/12/2016,The Orchard,Comedy,PG-13,721
Ghostbusters,7/15/2016,Sony Pictures,Comedy,PG-13,"14,838,216"
Gimme Danger,10/28/2016,Magnolia Pictures,Documentary,R,"50,939"
Girl Asleep,9/23/2016,Oscilloscope Pictures,Drama,Not Rated,"6,969"
Gleason,7/29/2016,Open Road,Documentary,R,"67,656"
God’s Not Dead 2,4/1/2016,Pure Flix Entertainment,Drama,PG,"2,401,510"
Gods of Egypt,2/26/2016,Lionsgate,Adventure,PG-13,"3,601,556"
Golden Kingdom,6/17/2016,Kino Lorber,Drama,Not Rated,933
Greater,8/26/2016,Hammond Entertainment,Drama,PG,"231,224"
Green is Gold,10/7/2016,Samuel Goldwyn Films,Drama,R,52
Green Room,4/15/2016,A24,Horror,R,"372,297"
Gridiron Heroes,4/15/2016,Indican Pictures,Documentary,Not Rated,"2,686"
Hacksaw Ridge,11/4/2016,Lionsgate,Drama,R,"7,468,967"
"Hail, Caesar!",2/5/2016,Universal,Comedy,PG-13,"3,477,482"
Hands of Stone,8/26/2016,Weinstein Co.,Drama,R,"544,831"
Happy Bhaag Jayegi,8/19/2016,Eros Entertainment,Romantic Comedy,Not Rated,"40,675"
Hardcore Henry,4/8/2016,STX Entertainment,Action,R,"1,069,599"
Harry & Snowman,9/30/2016,FilmRise,Documentary,Not Rated,"63,886"
Harry Benson: Shoot First,12/9/2016,Magnolia Pictures,Documentary,Not Rated,"1,317"
Hell or High Water,8/12/2016,Lionsgate,Western,R,"3,122,294"
"Hello, My Name is Doris",3/11/2016,Roadside Attractions,Drama,R,"1,669,942"
Hidden Figures,12/25/2016,20th Century Fox,Drama,PG,"229,706"
"Hieronymus Bosch, Touched by the Devil",7/27/2016,Kino Lorber,Documentary,Not Rated,"19,946"
High Strung,4/8/2016,Paladin,Drama,PG,"6,178"
High-Rise,5/13/2016,Magnolia Pictures,Thriller/Suspense,R,"40,054"
Hillary’s America: The Secret History of the Democratic Party,7/15/2016,Quality Flix,Documentary,PG-13,"1,514,442"
Hillsong: Let Hope Rise,9/16/2016,Pure Flix Entertainment,Documentary,PG,"276,846"
Ho Mann Jahaan,1/1/2016,Eros Entertainment,Musical,Not Rated,"24,116"
Hockney,4/22/2016,Film Movement,Documentary,Not Rated,"13,958"
Holy Hell,5/27/2016,WRA Productions LLC,Documentary,Not Rated,"2,086"
Homeland: Iraq Year Zero,10/6/2016,Kino Lorber,Documentary,NC-17,287
Hooligan Sparrow,7/22/2016,The Film Collaborative,Documentary,Not Rated,346
Hot Water,5/5/2016,Indican Pictures,Documentary,Not Rated,"1,398"
Housefull 3,6/3/2016,Eros Entertainment,Romantic Comedy,Not Rated,"153,410"
How He Fell in Love,7/8/2016,Monument Releasing,Drama,Not Rated,"2,031"
How to be Single,2/12/2016,Warner Bros.,Romantic Comedy,R,"5,415,435"
How to Let Go of the World and Love All The Things Climate Can”t Change,4/20/2016,International WOW,Documentary,Not Rated,"4,206"
Hunt for the Wilderpeople,6/24/2016,The Orchard,Comedy,PG-13,"601,788"
Hyena Road,3/11/2016,Samuel Goldwyn Films,Drama,R,165
I Am not Madame Bovary,11/18/2016,Well Go USA,Drama,Not Rated,"50,396"
I Belonged to You,9/30/2016,China Lion Film Distribution,Romantic Comedy,Not Rated,"85,954"
I Don’t Belong Anywhere: The Cinema of Chantel Akerman,3/30/2016,Icarus Films,Documentary,Not Rated,470
I Knew Her Well,2/5/2016,Janus Films,Documentary,Not Rated,"2,082"
I Saw the Light,3/25/2016,Sony Pictures Classics,Drama,R,"190,380"
I’m Not Ashamed,10/21/2016,Pure Flix Entertainment,Drama,PG-13,"240,806"
Ice Age: Collision Course,7/22/2016,20th Century Fox,Adventure,PG,"7,406,128"
In a Valley of Violence,10/21/2016,Focus World,Western,R,"6,201"
In Harmony,4/15/2016,Distrib Films,Drama,Not Rated,363
In Her Name,12/2/2016,Distrib Films,Drama,Not Rated,187
In Order of Disappearance,8/26/2016,Magnolia Pictures,Action,R,"5,809"
In the Shadow of Women,1/15/2016,Distrib Films,Drama,Not Rated,"5,813"
Incarnate,12/2/2016,High Top Releasing,Thriller/Suspense,PG-13,"554,887"
Independence Day: Resurgence,6/24/2016,20th Century Fox,Action,PG-13,"11,924,194"
Indian Point,7/8/2016,First Run Features,Documentary,Not Rated,838
Indignation,7/29/2016,Roadside Attractions,Drama,R,"393,197"
Inferno,10/28/2016,Sony Pictures,Thriller/Suspense,PG-13,"3,956,260"
Into the Forest,7/29/2016,A24,Drama,R,"1,155"
Ip Man 3,1/22/2016,Well Go USA,Action,PG-13,"309,761"
Is That a Gun in Your Pocket?,9/16/2016,Area 23a,Comedy,R,"4,615"
Ism,10/14/2016,Cinegalaxy,Action,Not Rated,"15,510"
It Had to be You,10/21/2016,Samuel Goldwyn Films,Romantic Comedy,R,612
It’s Already Tomorrow in Hong Kong,2/12/2016,Gravitas Ventures,Romantic Comedy,Not Rated,"1,730"
Jack Reacher: Never Go Back,10/21/2016,Paramount Pictures,Action,PG-13,"6,771,620"
Jackie,12/2/2016,Fox Searchlight,Drama,R,"747,945"
Jane Got a Gun,1/29/2016,Weinstein Co.,Western,R,"175,004"
Jason Bourne,7/29/2016,Universal,Action,PG-13,"18,750,626"
Jeremy,10/21/2016,Sony Pictures,Comedy,PG-13,"74,878"
Jimmy Vestvood: Amerikan Hero,5/13/2016,A24,Comedy,Not Rated,"26,597"
Julieta,12/21/2016,Sony Pictures Classics,Drama,R,"23,510"
Kaashmora,10/28/2016,Cinegalaxy,Action,Not Rated,"37,910"
Kabali,7/21/2016,Cinegalaxy,Action,Not Rated,"451,224"
Kahaani 2,12/2/2016,Eros Entertainment,Thriller/Suspense,Not Rated,"40,543"
Kaili Blues,5/20/2016,Grasshopper Film,Drama,Not Rated,"3,176"
Kamikaze 89,6/3/2016,Film Movement,Thriller/Suspense,Not Rated,"2,594"
Kapoor & Sons,3/18/2016,FIP,Comedy,Not Rated,"301,391"
Kaptaan,5/20/2016,UTV Communications,Documentary,Not Rated,"23,559"
Kate Plays Christine,8/26/2016,Grasshopper Film,Documentary,Not Rated,"2,955"
Keanu,4/29/2016,Warner Bros.,Comedy,R,"2,380,561"
Keeping Up with the Joneses,10/21/2016,20th Century Fox,Comedy,PG-13,"1,723,055"
Kevin Hart: What Now?,10/14/2016,Universal,Concert/Performance,R,"2,727,288"
Ki & Ka,4/1/2016,Eros Entertainment,Comedy,Not Rated,"99,189"
Kicks,9/9/2016,Focus World,Adventure,R,"17,363"
"Kiki, Love to Love",11/11/2016,Strand,Romantic Comedy,Not Rated,"1,439"
"Kill Me, Deadly",4/1/2016,Indican Pictures,Multiple Genres,Not Rated,"3,478"
King Cobra,10/21/2016,IFC Midnight,Drama,PG-13,"8,637"
King Georges,2/26/2016,IFC Films,Documentary,Not Rated,"5,972"
Klown Forever,9/2/2016,Drafthouse Films,Comedy,Not Rated,658
Knight of Cups,3/4/2016,Broad Green Pictures,Drama,R,"65,434"
Krisha,3/18/2016,A24,Drama,R,"16,742"
Ktown Cowboys,3/18/2016,Freestyle Releasing,Documentary,R,"2,180"
Kubo and the Two Strings,8/19/2016,Focus Features,Adventure,PG,"5,551,802"
Kung Fu Panda 3,1/29/2016,20th Century Fox,Adventure,PG,"16,592,903"
La La Land,12/9/2016,Lionsgate,Musical,PG-13,"3,961,689"
Lamb,1/8/2016,The Orchard,Drama,R,"1,681"
Landfill Harmonic,9/9/2016,The Film Collaborative,Documentary,Not Rated,"1,989"
Last Cab to Darwin,6/10/2016,First Run Features,Drama,Not Rated,"3,952"
Late Spring,3/4/2016,Janus Films,Drama,Not Rated,"1,532"
Lazer Team,1/27/2016,Rooster Teeth,Comedy,PG-13,"137,159"
League of Gods,7/29/2016,Sony Pictures,Action,PG-13,"16,581"
Les Cowboys,6/24/2016,Cohen Media Group,Western,R,"8,523"
"Life, Animated",7/1/2016,The Orchard,Documentary,PG,"29,449"
Lights Out,7/22/2016,Warner Bros.,Horror,PG-13,"7,776,744"
Like for Likes,2/26/2016,CJ Entertainment,Romantic Comedy,Not Rated,"5,877"
Lion,11/25/2016,Weinstein Co.,Drama,PG-13,"613,144"
Little Men,8/5/2016,Magnolia Pictures,Drama,PG,"81,218"
Live by Night,12/25/2016,Warner Bros.,Drama,R,"10,979"
"Lo And Behold, Reveries Of The Connected World",8/19/2016,Magnolia Pictures,Documentary,PG-13,"68,775"
Lolo,3/11/2016,FilmRise,Romantic Comedy,Not Rated,"2,790"
London Has Fallen,3/4/2016,Focus Features,Action,R,"7,228,238"
Los sures,4/15/2016,Oscilloscope Pictures,Documentary,Not Rated,"9,710"
Louder Than Bombs,4/8/2016,The Orchard,Drama,R,"18,937"
Love & Friendship,5/13/2016,Roadside Attractions,Drama,PG,"1,620,412"
Love Me True,8/12/2016,Indican Pictures,Romantic Comedy,Not Rated,"2,323"
Loving,11/4/2016,Focus Features,Drama,PG-13,"865,041"
Lucha Mexico,7/15/2016,Kino Lorber,Documentary,Not Rated,"1,355"
LUCK-KEY,10/21/2016,JBG Pictures,Comedy,Not Rated,"53,931"
M.S. Dhoni: The Untold Story,9/30/2016,FIP,Drama,Not Rated,"208,271"
Ma Ma,5/20/2016,Oscilloscope Pictures,Drama,R,"5,463"
Mad Tiger,3/18/2016,Film Movement,Documentary,Not Rated,788
Made in France,9/23/2016,Under the Milky Way,Thriller/Suspense,Not Rated,"1,053"
Maggie’s Plan,5/20/2016,Sony Pictures Classics,Comedy,R,"387,483"
Magnus,11/18/2016,FilmRise,Documentary,Not Rated,800
Manchester-by-the Sea,11/18/2016,Roadside Attractions,Drama,R,"3,291,410"
Marguerite,3/11/2016,Cohen Media Group,Drama,R,"57,493"
Marinoni: The Fire in the Frame,4/1/2016,First Run Features,Documentary,Not Rated,542
Masterminds,9/30/2016,Relativity,Comedy,PG-13,"2,006,577"
Mastizaade,1/29/2016,Eros Entertainment,Comedy,Not Rated,"5,017"
Max Rose,9/2/2016,Paladin,Drama,Not Rated,"7,731"
Max Steel,10/14/2016,Open Road,Action,PG-13,"441,464"
Me Before You,6/3/2016,Warner Bros.,Drama,PG-13,"6,502,321"
Mechanic: Resurrection,8/26/2016,Lionsgate,Action,R,"2,452,994"
Meet the Blacks,4/1/2016,Freestyle Releasing,Comedy,R,"1,051,684"
Mekong Hotel,3/4/2016,Strand,Multiple Genres,Not Rated,289
Memoria,4/8/2016,Monterey Media,Drama,R,259
Men & Chicken,4/22/2016,Drafthouse Films,Black Comedy,Not Rated,"3,492"
Men go to Battle,7/8/2016,Film Movement,Drama,Not Rated,"2,081"
Mi America,10/16/2016,Industrial House Films,Drama,R,384
Mia madre,8/26/2016,Music Box Films,Drama,R,"35,029"
Michael Moore in TrumpLand,10/19/2016,Self Distributed,Concert/Performance,Not Rated,"17,235"
Microbe and Gasoline,7/1/2016,Screen Media Films,Comedy,R,"7,375"
Middle School: The Worst Years of My Life,10/7/2016,Lionsgate,Adventure,PG,"2,312,965"
Midnight Special,3/18/2016,Warner Bros.,Drama,PG-13,"429,166"
Mifune: The Last Samurai,11/25/2016,Strand,Documentary,Not Rated,"5,715"
Mike and Dave Need Wedding Dates,7/8/2016,20th Century Fox,Comedy,R,"5,319,037"
Miles Ahead,4/1/2016,Sony Pictures Classics,Drama,R,"301,837"
Mimimalism: A Documentary About the Important Things,5/24/2016,Asymmetrical,Documentary,Not Rated,"30,273"
Miracles from Heaven,3/16/2016,Sony Pictures,Drama,PG,"7,133,540"
Misfortune,8/5/2016,Gunnison Galaxy,Thriller/Suspense,Not Rated,104
Miss Hokusai,10/14/2016,GKIDS,Drama,PG-13,"25,742"
Miss Peregrine’s Home for Peculiar Children,9/30/2016,20th Century Fox,Adventure,PG-13,"10,051,461"
Miss Sharon Jones,7/29/2016,Starz Media,Documentary,Not Rated,"13,974"
Miss Sloane,11/25/2016,EuropaCorp,Drama,R,"403,888"
Miss Stevens,9/16/2016,The Orchard,Comedy,Not Rated,533
Moana,11/23/2016,Walt Disney,Musical,PG,"24,282,787"
Mohenjo Daro,8/12/2016,UTV Communications,Action,Not Rated,"146,166"
Money Monster,5/13/2016,Sony Pictures,Thriller/Suspense,R,"4,741,280"
